Wendy,Whitney,Haley
HU,HU,HU
HU,HU,HU
IN,IN,SI
LR,LR,HR
SI,SI,SI
SI,SI,SI
SI,SI,BU
LR,LR,LR
HU,HU,HU
IN,HR,LR
VO,HR,HR
VO,HU,HU
VO,HU,HU
LR,HR,LR
HU,HU,HU
LR,HR,HR
HR,HR,HR
IN,IN,IN
IN,LR,IN
LR,HR,LR
LR,HR,HR
SI,SI,SI
SI,SI,SI
VO,VO,VO
SI,SI,SI
LR,HR,LR
IN,LR,LR
IN,IN,IN
SI,SI,SI
VO,HR,HR
IN,HR,IN
SI,SI,SI
LR,HR,LR
HU,HU,HU
HU,HU,HU
LR,HR,HR
HU,HU,HU
IN,LR,IN
LR,HR,HR
SI,SI,SI
SI,SI,IN
HR,VO,VO
IN,LR,IN
HU,HU,HU
LR,HR,LR
IN,SI,IN
LR,HR,LR
LR,SI,SI
SI,SI,SI
IN,SI,IN
IN,HR,LR
LR,HR,HR
BU,BU,BU
HR,HR,HR
HR,VO,VO
HU,HU,HU
SI,SI,SI
HR,HR,HR
HU,BU,HU
SI,SI,IN
SI,SI,SI
VO,HU,HU
LR,HR,HR
HU,HU,HU
HR,HR,HR
HR,HR,HR
SI,SI,IN
HU,HU,HU
HU,HU,HU
SI,SI,SI
HR,VO,HR
HR,VO,LR
LR,HR,HR
IN,SI,IN
VO,HR,VO
LR,LR,LR
LR,HR,LR
HR,VO,VO
SI,SI,IN
BU,BU,BU
SI,SI,SI
VO,HR,HU
VO,HU,HU
VO,HR,VO
LR,HR,LR
LR,HR,LR
LR,LR,LR
SI,SI,IN
LR,LR,IN
HU,HU,HU
LR,LR,LR
SI,SI,SI
BU,BU,BU
LR,HR,HR
SI,SI,SI
HR,HR,HR
SI,SI,IN
SI,SI,SI
VO,VO,VO
VO,HR,VO
HR,VO,HU
SI,SI,SI
IN,LR,IN
IN,IN,IN
BU,BU,BU
LR,LR,LR
SI,SI,SI
SI,SI,IN
SI,SI,SI
SI,SI,IN
SI,SI,IN
HU,HU,HU
HU,HU,HU
SI,SI,SI
SI,SI,SI
SI,SI,SI
HU,HU,HU
SI,SI,SI
BU,BU,BU
LR,HR,HR
SI,SI,IN
IN,SI,IN
LR,LR,LR
SI,SI,SI
SI,SI,SI
LR,HR,HR
SI,SI,IN
SI,SI,IN
IN,SI,IN
LR,HR,LR
LR,LR,LR
HU,HU,HU
IN,LR,LR
LR,VO,HR
HR,VO,VO
IN,LR,IN
HU,HU,VO
HU,HU,HU
SI,SI,SI
HR,VO,HR
HR,HR,VO
SI,SI,SI
HR,VO,HR
LR,HR,HR
SI,SI,SI
IN,SI,IN
HR,HR,HR
IN,LR,IN
SI,SI,SI
LR,HR,LR
SI,SI,SI
HU,HU,HU
HR,HR,HR
SI,SI,BU
HU,HU,HU
HR,HR,HR
LR,HR,HR
SI,SI,SI
IN,SI,IN
HR,HR,HR
SI,SI,SI
LR,HR,HR
LR,HR,HU
VO,HR,VO
LR,LR,LR
VO,VO,VO
SI,SI,BU
IN,HR,LR
SI,SI,SI
HR,VO,VO
IN,SI,IN
LR,LR,LR
HU,HU,HU
IN,HR,IN
IN,IN,IN
IN,IN,IN
IN,SI,IN
IN,SI,IN
IN,LR,IN
SI,SI,SI
IN,LR,IN
SI,SI,SI
LR,HR,HR
SI,SI,SI
IN,IN,IN
IN,IN,IN
BU,SI,SI
LR,VO,HR
HR,VO,HR
LR,LR,LR
IN,HR,LR
SI,SI,SI
SI,SI,SI
IN,LR,IN
LR,HR,HR
SI,SI,SI
LR,HR,HR
IN,LR,LR
SI,SI,SI
SI,SI,SI
IN,IN,IN
HR,VO,VO
SI,SI,SI
IN,LR,IN
LR,HR,LR
SI,SI,SI
VO,HR,HR
HR,HR,HR
SI,SI,SI
SI,SI,SI
SI,SI,LR
SI,SI,SI
VO,HU,HU
LR,HR,HR
HR,VO,VO
IN,LR,LR
SI,SI,SI
IN,SI,IN
IN,IN,SI
LR,HR,IN
VO,HR,HR
BU,BU,BU
SI,SI,SI
SI,SI,SI
IN,SI,SI
LR,HR,LR
VO,HU,HU
VO,HR,IN
SI,SI,SI
VO,HR,HR
HU,HU,HU
LR,HR,LR
HR,HR,HR
SI,SI,SI
HR,VO,HR
HR,HR,HR
IN,HR,IN
HU,HU,HU
IN,LR,LR
LR,HR,HR
HU,HU,HU
HR,HR,HR
HU,HU,HU
HR,HR,HR
HR,HR,IN
IN,HR,LR
HR,VO,VO
SI,SI,SI
HR,VO,VO
IN,SI,IN
IN,IN,IN
LR,HR,HR
SI,SI,SI
SI,SI,SI
IN,IN,LR
LR,HR,HR
LR,VO,HR
SI,SI,SI
VO,HR,VO
LR,HR,HR
SI,SI,IN
HR,VO,VO
LR,HR,LR
BU,BU,BU
BU,BU,BU
SI,SI,SI
SI,SI,SI
SI,SI,SI
VO,VO,VO
VO,HR,HR
SI,SI,SI
SI,SI,SI
SI,SI,SI
LR,HR,LR
VO,VO,VO
SI,SI,SI
IN,IN,IN
SI,SI,IN
IN,SI,IN
HU,HU,HU
SI,SI,IN
SI,SI,SI
BU,BU,BU
LR,HR,HR
IN,IN,IN
IN,HR,HR
LR,HR,HR
IN,LR,IN
HU,HU,HU
SI,SI,SI
HU,HU,HU
HR,LR,LR
VO,HR,LR
LR,HR,LR
HU,HR,HU
LR,HR,HR
HU,HR,HR
IN,LR,IN
IN,IN,IN
SI,SI,SI
