"","svm.accuracy","n.samples","randomization"
"1",62,1,1
"2",65.5,2,1
"3",67.6666666666667,3,1
"4",65.5,4,1
"5",66.8,5,1
"6",68.1666666666667,6,1
"7",66.7142857142857,7,1
"8",65.25,8,1
"9",64.6666666666667,9,1
"10",64,1,2
"11",65,2,2
"12",70.3333333333333,3,2
"13",71.25,4,2
"14",71.6,5,2
"15",67.1666666666667,6,2
"16",61.1428571428571,7,2
"17",65.125,8,2
"18",66.5555555555556,9,2
"19",69,1,3
"20",65.5,2,3
"21",62.6666666666667,3,3
"22",65.5,4,3
"23",67.4,5,3
"24",64.5,6,3
"25",65.2857142857143,7,3
"26",64.375,8,3
"27",65,9,3
"28",66,1,4
"29",64,2,4
"30",66.6666666666667,3,4
"31",70.25,4,4
"32",67,5,4
"33",65.3333333333333,6,4
"34",69.2857142857143,7,4
"35",64.625,8,4
"36",65.5555555555556,9,4
"37",59,1,5
"38",64.5,2,5
"39",69.3333333333333,3,5
"40",68.75,4,5
"41",66.6,5,5
"42",67.1666666666667,6,5
"43",62.7142857142857,7,5
"44",63.5,8,5
"45",64.8888888888889,9,5
"46",70,1,6
"47",63.5,2,6
"48",60.6666666666667,3,6
"49",64.75,4,6
"50",70.2,5,6
"51",63.1666666666667,6,6
"52",66.4285714285714,7,6
"53",67,8,6
"54",65.4444444444444,9,6
"55",62,1,7
"56",61,2,7
"57",70.3333333333333,3,7
"58",66,4,7
"59",65.8,5,7
"60",65,6,7
"61",67.1428571428571,7,7
"62",65.875,8,7
"63",65,9,7
"64",68,1,8
"65",64,2,8
"66",71.3333333333333,3,8
"67",67,4,8
"68",69.8,5,8
"69",64.5,6,8
"70",66,7,8
"71",66.875,8,8
"72",64.8888888888889,9,8
"73",62,1,9
"74",70.5,2,9
"75",67,3,9
"76",67.5,4,9
"77",67.6,5,9
"78",68.3333333333333,6,9
"79",66,7,9
"80",67.5,8,9
"81",68.2222222222222,9,9
"82",67,1,10
"83",69.5,2,10
"84",65.3333333333333,3,10
"85",64.5,4,10
"86",66.8,5,10
"87",67.6666666666667,6,10
"88",68.5714285714286,7,10
"89",65.875,8,10
"90",64.1111111111111,9,10
"91",66,1,11
"92",68.5,2,11
"93",68,3,11
"94",68,4,11
"95",63,5,11
"96",65.1666666666667,6,11
"97",68.7142857142857,7,11
"98",64.625,8,11
"99",65.2222222222222,9,11
"100",69,1,12
"101",66,2,12
"102",69.3333333333333,3,12
"103",69.25,4,12
"104",66.4,5,12
"105",63.3333333333333,6,12
"106",66.1428571428571,7,12
"107",66.125,8,12
"108",64.8888888888889,9,12
"109",65,1,13
"110",69,2,13
"111",67,3,13
"112",68,4,13
"113",66.4,5,13
"114",66.6666666666667,6,13
"115",65.4285714285714,7,13
"116",66.875,8,13
"117",65.6666666666667,9,13
"118",74,1,14
"119",65,2,14
"120",66.6666666666667,3,14
"121",72.75,4,14
"122",64.8,5,14
"123",69.8333333333333,6,14
"124",65.8571428571429,7,14
"125",67.125,8,14
"126",65.2222222222222,9,14
"127",62,1,15
"128",70,2,15
"129",66.3333333333333,3,15
"130",67.5,4,15
"131",65.2,5,15
"132",67.6666666666667,6,15
"133",67.4285714285714,7,15
"134",63.875,8,15
"135",66.4444444444444,9,15
"136",73,1,16
"137",70.5,2,16
"138",66,3,16
"139",69.25,4,16
"140",66.2,5,16
"141",67.1666666666667,6,16
"142",65.8571428571429,7,16
"143",64.375,8,16
"144",64.2222222222222,9,16
"145",73,1,17
"146",65.5,2,17
"147",71.3333333333333,3,17
"148",65.25,4,17
"149",65.4,5,17
"150",66.8333333333333,6,17
"151",65.2857142857143,7,17
"152",65.25,8,17
"153",66.4444444444444,9,17
"154",65,1,18
"155",60,2,18
"156",67.3333333333333,3,18
"157",65,4,18
"158",70,5,18
"159",65.6666666666667,6,18
"160",68.2857142857143,7,18
"161",65.625,8,18
"162",65.3333333333333,9,18
"163",71,1,19
"164",66.5,2,19
"165",71.6666666666667,3,19
"166",64.25,4,19
"167",68.4,5,19
"168",67.5,6,19
"169",67.8571428571429,7,19
"170",68.875,8,19
"171",64.5555555555556,9,19
"172",73,1,20
"173",68.5,2,20
"174",64.3333333333333,3,20
"175",64,4,20
"176",70.4,5,20
"177",65.6666666666667,6,20
"178",63.7142857142857,7,20
"179",70.5,8,20
"180",66.7777777777778,9,20
"181",61,1,21
"182",62,2,21
"183",63,3,21
"184",68,4,21
"185",65.6,5,21
"186",67,6,21
"187",66.8571428571429,7,21
"188",64.625,8,21
"189",65.2222222222222,9,21
"190",72,1,22
"191",68,2,22
"192",68.6666666666667,3,22
"193",69,4,22
"194",64,5,22
"195",67.3333333333333,6,22
"196",65.2857142857143,7,22
"197",66.625,8,22
"198",65.8888888888889,9,22
"199",51,1,23
"200",63.5,2,23
"201",68,3,23
"202",67.75,4,23
"203",65.4,5,23
"204",67.5,6,23
"205",68.1428571428571,7,23
"206",64.625,8,23
"207",64.3333333333333,9,23
"208",68,1,24
"209",62.5,2,24
"210",69,3,24
"211",63.75,4,24
"212",68.4,5,24
"213",67.1666666666667,6,24
"214",65.1428571428571,7,24
"215",67.125,8,24
"216",64.3333333333333,9,24
"217",68,1,25
"218",64,2,25
"219",72.3333333333333,3,25
"220",67.5,4,25
"221",65,5,25
"222",65.3333333333333,6,25
"223",67.7142857142857,7,25
"224",64.625,8,25
"225",64.4444444444444,9,25
