"","n.clusters","sil.coef","n.samples","randomization","Typicality"
"1",2,0.265814107380441,1,1,0.993523542491593
"2",2,0.298763371191752,2,1,0.995491513525361
"3",2,0.316691075662115,3,1,0.996883891974067
"4",2,0.289004566248208,4,1,0.993185013378909
"5",2,0.299497971721288,5,1,0.995826059737453
"6",2,0.329360348040042,6,1,0.997558651932622
"7",2,0.306874164657655,7,1,0.996353264352696
"8",2,0.316754647563283,8,1,0.996911980120018
"9",2,0.306377356484405,9,1,0.996245616364654
"10",2,0.313177540387035,1,2,0.997951122273461
"11",2,0.320554978147445,2,2,0.99810860396491
"12",2,0.298983519079722,3,2,0.994755461778691
"13",2,0.301500202333605,4,2,0.996240042488254
"14",2,0.312615504146538,5,2,0.996777926070536
"15",2,0.31394418895448,6,2,0.996504699417314
"16",2,0.318037721483334,7,2,0.997210778970691
"17",2,0.307681823688111,8,2,0.995978337138156
"18",2,0.317991945740649,9,2,0.996940835752562
"19",2,0.274205000932901,1,3,0.995707486117843
"20",2,0.340606742781002,2,3,0.998740345280708
"21",2,0.317253236873902,3,3,0.997402734671837
"22",2,0.290391464589401,4,3,0.993577049835396
"23",2,0.308288411443612,5,3,0.996999030812746
"24",2,0.313718492656816,6,3,0.996476781291843
"25",2,0.309458429381407,7,3,0.996750715389281
"26",2,0.30791188562904,8,3,0.996144168209094
"27",2,0.309940814822764,9,3,0.996225203865736
"28",2,0.253166632313497,1,4,0.993774138213806
"29",2,0.299216591364103,2,4,0.995697380519948
"30",2,0.326229164320652,3,4,0.998234791376295
"31",2,0.319884092699529,4,4,0.99747597819765
"32",2,0.330388499809734,5,4,0.996649336240833
"33",2,0.30945821856626,6,4,0.996763565563823
"34",2,0.313957487153351,7,4,0.996817336793768
"35",2,0.304100629656504,8,4,0.995750011647075
"36",2,0.314871931857611,9,4,0.996807489453058
"37",2,0.323531890791743,1,5,0.997535865993344
"38",2,0.335905590985576,2,5,0.997541657117007
"39",2,0.344719218973682,3,5,0.998718350071514
"40",2,0.314809629550272,4,5,0.997689877776044
"41",2,0.306001545891195,5,5,0.996316078226636
"42",2,0.318305826471753,6,5,0.997074515542596
"43",2,0.321066389999989,7,5,0.997353758548444
"44",2,0.31687020431561,8,5,0.997250500043181
"45",2,0.316659899221425,9,5,0.996942491487941
"46",2,0.290767990597005,1,6,0.996533684869515
"47",2,0.296724627582468,2,6,0.994723945628814
"48",2,0.295007907904509,3,6,0.995755835419584
"49",2,0.326640364242318,4,6,0.99781928910966
"50",2,0.313810056928324,5,6,0.996720142077995
"51",2,0.322026380217629,6,6,0.99749493573296
"52",2,0.32110282498052,7,6,0.997314732225234
"53",2,0.306113825513411,8,6,0.996622406083411
"54",2,0.314511723069425,9,6,0.9966235235448
"55",2,0.348078032514491,1,7,0.998288043167299
"56",2,0.327725566019039,2,7,0.998201948083784
"57",2,0.322987451781041,3,7,0.997095889053219
"58",2,0.321094238524389,4,7,0.997614027341667
"59",2,0.305361023033042,5,7,0.996160586713131
"60",2,0.317627624306111,6,7,0.996955547648227
"61",2,0.313930761110879,7,7,0.996854347743574
"62",2,0.312856607840865,8,7,0.99681278264123
"63",2,0.308994613967818,9,7,0.996313197435962
"64",2,0.312099055496625,1,8,0.997694796042687
"65",2,0.356680880112762,2,8,0.998031239560632
"66",2,0.305262414718819,3,8,0.99687613937341
"67",2,0.334462886336972,4,8,0.997886393727397
"68",2,0.320067334505226,5,8,0.997283408257716
"69",2,0.313366704375264,6,8,0.996818638829081
"70",2,0.310328846611588,7,8,0.996578917329974
"71",2,0.310038425000237,8,8,0.996483405517278
"72",2,0.321256848535951,9,8,0.997284877183221
"73",2,0.295538536659887,1,9,0.997533107318413
"74",2,0.346811122158805,2,9,0.998214442248994
"75",2,0.298797296258309,3,9,0.994794393891298
"76",2,0.296652151127575,4,9,0.995502773179332
"77",2,0.299981057828119,5,9,0.995484273115477
"78",2,0.308745130173385,6,9,0.996018414665338
"79",2,0.31901338227447,7,9,0.9972310575799
"80",2,0.316604367403986,8,9,0.996613420361248
"81",2,0.305866187360143,9,9,0.995500577696221
"82",2,0.323544992387988,1,10,0.997447075758132
"83",2,0.328402293058079,2,10,0.998109570503241
"84",2,0.323294512971796,3,10,0.997196837964413
"85",2,0.316021376836974,4,10,0.996564589898522
"86",2,0.307845175229686,5,10,0.995844352780894
"87",2,0.322267622038292,6,10,0.997137987218881
"88",2,0.315712001696404,7,10,0.996867573623527
"89",2,0.314303309393166,8,10,0.996927413172531
"90",2,0.320461166996103,9,10,0.997216147443248
"91",2,0.370961373225436,1,11,0.999008201655581
"92",2,0.281728415425794,2,11,0.996691050552025
"93",2,0.309636946069472,3,11,0.996282755677401
