New.Pulse,Cluster_Typical,Clip.Name,affinity.id,Pulse.Type,Source.Name,Selection,Tonal,Begin.Time.s,End.Time.s,Low.Freq.Hz,High.Freq.Hz,Begin.File,Male_ID,meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5..Hz,Freq.95..Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50..Hz,BW.90..Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50..s,Dur.90..s,Freq.25..Hz,Freq.75..Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz.ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz.ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz.ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25..Rel.,Time.5..Rel.,Time.75..Rel.,Time.95..Rel.,Freq_IQR,Time_IQR,F0_min,F0_max
S,2,2013-06-17 152944_MZ000010-CHAZ_LC_WE_7.WAV,616,SI,2013-06-17 152944_MZ000010-CHAZ_LC_WE.txt,7,y,6.987818196,7.433377292,50,1000,2013-06-17 152944_MZ000010-CHAZ_LC_WE.WAV,CHAZ,0.26,0.17,2.5,9.18,0.83,0.87,0.73,0.28,0.19,0.12,0.25,0.13,5.5,0.23,0.23,0,0.16,0.45,118.42,344.5,5.23,3.9,59.21,226.08,188.4,0.32,0.14,0.35,166.87,226.08,172.25,-0.32,247.61,0.38,107.66,-2.28,1,0.35,0.19,0.06,0.52,0.87,59.21,0.32,0.11,0.22
S,2,2013-06-18 164940_MZ000036-CHAZ_LC_WE_12.WAV,616,IN,2013-06-18 164940_MZ000036-CHAZ_LC_WE.txt,12,y,34.8435693,35.3195908,50,1000,2013-06-18 164940_MZ000036-CHAZ_LC_WE.WAV,CHAZ,0.29,0.2,2.55,9.54,0.87,0.87,0.76,0.41,0.16,0.11,0.23,0.12,1,0.23,0.11,-0.25,0.15,0.48,113.04,328.35,5.07,3.58,43.06,215.31,193.78,0.31,0.13,0.38,172.25,215.31,204.55,-0.26,226.08,0,107.66,-0.76,0,0.19,0.16,0.06,0.44,0.91,43.06,0.28,0.11,0.22
S,2,2013-06-18 164940_MZ000036-CHAZ_LC_WE_19.WAV,616,IN,2013-06-18 164940_MZ000036-CHAZ_LC_WE.txt,19,y,47.09333047,47.9257,50,1000,2013-06-18 164940_MZ000036-CHAZ_LC_WE.WAV,CHAZ,0.27,0.18,3.87,23.66,0.87,0.85,0.74,0.35,0.2,0.1,0.27,0.17,3.63,0.27,0.1,-0.21,0.18,0.83,113.04,339.12,5.21,3.63,59.21,226.08,199.16,0.29,0.33,0.58,166.87,226.08,188.4,-0.22,263.76,7.99,80.74,-7.61,2,0.22,0.21,0.12,0.6,0.83,59.21,0.4,0.09,0.26
R,1,2013-06-19 060646_MZ000040-CHAZ_LC_WE_7.WAV,16,HR,2013-06-19 060646_MZ000040-CHAZ_LC_WE.txt,7,y,16.13173339,17.03260326,50,1500,2013-06-19 060646_MZ000040-CHAZ_LC_WE.WAV,CHAZ,0.72,0.28,4.25,26.84,0.87,0.85,0.74,0.36,0.46,0.08,0.5,0.42,1.21,0.08,0.41,0.37,0.43,0.9,392.95,958.14,5.59,4.51,69.98,565.2,479.07,0.62,0.28,0.59,457.54,527.52,479.07,0.15,495.22,6.09,258.38,-4.57,4,0.59,0.48,0.24,0.79,0.9,69.98,0.32,0.27,0.5
S,2,2013-06-19 060646_MZ000040-CHAZ_LC_WE_14.WAV,616,SI,2013-06-19 060646_MZ000040-CHAZ_LC_WE.txt,14,y,29.57975419,30.4692,50,800,2013-06-19 060646_MZ000040-CHAZ_LC_WE.WAV,CHAZ,0.25,0.12,2.42,9.9,0.88,0.85,0.75,0.3,0.22,0.09,0.43,0.33,5.06,0.36,0.09,-0.3,0.15,0.89,134.57,360.65,5.53,3.73,129.19,226.08,209.93,0.37,0.24,0.59,172.25,301.44,172.25,-0.35,355.27,8.75,53.83,-9.13,4,0.4,0.19,0.08,0.47,0.76,129.19,0.27,0.05,0.35
S,2,2013-06-19 160100_MZ000055-CHAZ_LC_WE_26.WAV,616,SI,2013-06-19 160100_MZ000055-CHAZ_LC_WE.txt,26,y,51.78817966,52.6701,50,1000,2013-06-19 160100_MZ000055-CHAZ_LC_WE.WAV,CHAZ,0.24,0.16,2.6,9.47,0.85,0.85,0.72,0.28,0.17,0.09,0.34,0.25,1.83,0.34,0.1,-0.27,0.12,0.88,107.66,328.35,5.14,3.35,64.59,220.7,172.25,0.34,0.2,0.54,129.19,193.78,172.25,-0.2,339.12,5.33,91.51,-2.66,1,0.33,0.3,0.11,0.52,0.74,64.59,0.23,0.09,0.33
R,NA,2013-06-30 144124_MZ000060-WODAN_LC_WE_9.WAV,812,HR,2013-06-30 144124_MZ000060-WODAN_LC_WE.txt,9,y,29.2125079,29.93724083,50,1000,2013-06-30 144124_MZ000060-WODAN_LC_WE.WAV,WODAN,0.48,0.23,3.49,17.46,0.92,0.85,0.79,0.63,0.31,0.18,0.38,0.2,1.79,0.18,0.22,0.06,0.32,0.72,183.02,726.68,6,4.59,156.1,543.66,322.97,0.46,0.4,0.61,215.31,371.41,188.4,0.07,382.18,3.42,166.87,-5.71,1,0.1,0.16,0.08,0.72,0.94,156.1,0.56,0.19,0.38
R,1,2013-07-01 064026_MZ000066-WODAN_LC_WE_4.WAV,16,HR,2013-07-01 064026_MZ000066-WODAN_LC_WE.txt,4,y,4.346629711,4.857997912,50,1500,2013-07-01 064026_MZ000066-WODAN_LC_WE.WAV,WODAN,0.63,0.32,3.14,13.49,0.87,0.86,0.75,0.42,0.53,0.37,1.13,0.75,1.9,0.37,0.47,0.19,0.5,0.51,382.18,1114.24,5.91,4.79,75.36,732.06,511.37,0.66,0.21,0.37,468.31,543.66,522.13,0.95,559.81,22.44,53.83,-1.9,2,0.49,0.43,0.2,0.86,0.94,75.36,0.43,0.03,0.56
R,1,2013-07-01 064026_MZ000066-WODAN_LC_WE_9.WAV,16,HR,2013-07-01 064026_MZ000066-WODAN_LC_WE.txt,9,y,11.585459,12.25930769,50,1500,2013-07-01 064026_MZ000066-WODAN_LC_WE.WAV,WODAN,0.69,0.24,4.14,24.83,0.86,0.85,0.74,0.35,0.59,0.22,0.79,0.57,2.92,0.22,0.43,0.3,0.74,0.67,344.5,791.27,5.83,4.89,242.23,446.77,748.21,0.57,0.21,0.45,532.9,775.13,785.89,0.83,785.89,23.96,199.16,-23.96,8,0.6,0.36,0.17,0.68,0.85,242.23,0.32,0.01,0.79
R,1,2013-07-01 064026_MZ000066-WODAN_LC_WE_10.WAV,16,HR,2013-07-01 064026_MZ000066-WODAN_LC_WE.txt,10,y,13.20258496,13.85717882,50,1500,2013-07-01 064026_MZ000066-WODAN_LC_WE.WAV,WODAN,0.62,0.26,3.2,14.74,0.86,0.86,0.74,0.34,0.51,0.27,0.66,0.39,2.47,0.33,0.27,-0.08,0.53,0.65,263.76,640.56,5.99,4.62,188.4,376.8,505.98,0.37,0.37,0.54,360.65,549.05,538.28,-0.07,656.7,9.89,263.76,-10.65,5,0.3,0.26,0.11,0.83,0.93,188.4,0.57,0.27,0.66
