"","n.clusters","sil.coef","n.samples","randomization"
"1",2,0.501642830175158,1,1
"2",2,0.625941746198406,1,2
"3",2,0.635946069006151,1,3
"4",2,0.648738680526455,1,4
"5",2,0.60398199239624,1,5
"6",2,0.585395687994417,1,6
"7",2,0.672188215291119,1,7
"8",2,0.607133834379435,1,8
"9",2,0.608471231788104,1,9
"10",2,0.605298577949628,1,10
"11",2,0.668275056641094,1,11
"12",2,0.626013695736878,1,12
"13",2,0.6401395780916,1,13
"14",2,0.626653415171223,1,14
"15",2,0.69832245221099,1,15
"16",2,0.636556288056184,1,16
"17",2,0.612367315452706,1,17
"18",2,0.574514392184133,1,18
"19",3,0.456409976611876,1,19
"20",2,0.570088611391763,1,20
"21",2,0.587214265219252,1,21
"22",2,0.554110598485816,1,22
"23",2,0.669154308542909,1,23
"24",3,0.495315846154111,1,24
"25",2,0.59441481337167,1,25
"26",3,0.380339369984431,2,1
"27",3,0.465691761829306,2,2
"28",3,0.514262290990184,2,3
"29",2,0.607866988601357,2,4
"30",3,0.474193401458533,2,5
"31",3,0.35414614306041,2,6
"32",3,0.549860632370468,2,7
"33",2,0.587564728803359,2,8
"34",3,0.516091764377773,2,9
"35",3,0.42117434373278,2,10
"36",3,0.503933336860431,2,11
"37",3,0.37334186979059,2,12
"38",2,0.565970474399329,2,13
"39",3,0.554474038981458,2,14
"40",3,0.362345199820054,2,15
"41",3,0.451117896723573,2,16
"42",3,0.337095532358219,2,17
"43",3,0.392279363610186,2,18
"44",2,0.607364197261024,2,19
"45",2,0.593995416597774,2,20
"46",2,0.585090148100043,2,21
"47",3,0.51342769452812,2,22
"48",2,0.580109565292478,2,23
"49",3,0.486483981330802,2,24
"50",2,0.585355533493286,2,25
"51",3,0.344442422300617,3,1
"52",3,0.456320921540492,3,2
"53",4,0.358638454820986,3,3
"54",3,0.468665379172721,3,4
"55",3,0.497150026064425,3,5
"56",4,0.334003890156609,3,6
"57",3,0.526746493650974,3,7
"58",3,0.374893488004714,3,8
"59",3,0.360443830945253,3,9
"60",3,0.4810844972023,3,10
"61",3,0.50464139639246,3,11
"62",3,0.460254488313481,3,12
"63",3,0.502447153894299,3,13
"64",3,0.474383813184017,3,14
"65",3,0.469366740430398,3,15
"66",2,0.560043498585481,3,16
"67",3,0.498371395346346,3,17
"68",3,0.481769128411732,3,18
"69",3,0.516026419755587,3,19
"70",3,0.519543721991801,3,20
"71",3,0.503517340119788,3,21
"72",3,0.412239689400073,3,22
"73",3,0.433119839984389,3,23
"74",3,0.348807293546095,3,24
"75",3,0.474225873353216,3,25
"76",3,0.370964456630149,4,1
"77",3,0.503891832522934,4,2
"78",3,0.52096486719214,4,3
"79",3,0.4619986732075,4,4
"80",3,0.373822545813446,4,5
"81",4,0.294614192770598,4,6
"82",3,0.53083751796284,4,7
"83",4,0.325147813958764,4,8
"84",4,0.323141064795651,4,9
"85",3,0.446755732643421,4,10
"86",3,0.471781488262365,4,11
"87",4,0.332815870054957,4,12
"88",3,0.539118980599592,4,13
"89",3,0.51524830507847,4,14
"90",3,0.478821611931059,4,15
"91",4,0.311410040444725,4,16
"92",3,0.464372567204995,4,17
"93",3,0.355103643362942,4,18
"94",3,0.504530915349788,4,19
"95",3,0.361861709919983,4,20
"96",4,0.336974075821875,4,21
"97",4,0.323562446281381,4,22
"98",3,0.37022546895154,4,23
"99",4,0.341703270126796,4,24
"100",4,0.332350001220068,4,25
"101",4,0.324947299861373,5,1
"102",4,0.332579049616509,5,2
"103",4,0.345904823313231,5,3
"104",4,0.322191415874692,5,4
"105",4,0.326678226937794,5,5
"106",4,0.314871426984127,5,6
"107",4,0.325918070445559,5,7
"108",3,0.521431579605232,5,8
"109",4,0.330445019297565,5,9
"110",4,0.301951260490159,5,10
"111",4,0.334932623170273,5,11
"112",4,0.341266128535551,5,12
"113",4,0.297559811965406,5,13
"114",4,0.316038374122948,5,14
"115",3,0.503433027175597,5,15
"116",4,0.30874511413222,5,16
"117",4,0.314252194352627,5,17
"118",4,0.333923502016271,5,18
"119",4,0.322049272803916,5,19
"120",4,0.279883036513553,5,20
"121",4,0.329542593580215,5,21
"122",4,0.312364962159654,5,22
"123",4,0.329787497961481,5,23
"124",3,0.514281627263609,5,24
"125",4,0.321747921231531,5,25
"126",4,0.312684206296728,6,1
"127",4,0.304017108937491,6,2
"128",4,0.333041012778958,6,3
"129",4,0.317708382971328,6,4
"130",4,0.313679835616353,6,5
"131",4,0.31475828362774,6,6
"132",4,0.327803035187403,6,7
"133",4,0.319260291052023,6,8
"134",4,0.326126670070445,6,9
"135",4,0.320033602715757,6,10
"136",4,0.332547507271994,6,11
"137",4,0.317382350511828,6,12
"138",4,0.332143511867977,6,13
"139",4,0.319040897581631,6,14
"140",4,0.320065738213984,6,15
"141",3,0.519872892991458,6,16
"142",4,0.319104186718272,6,17
"143",4,0.329896560556669,6,18
"144",4,0.300454302173561,6,19
"145",4,0.320012327784518,6,20
"146",4,0.316644644085956,6,21
"147",4,0.317998728553221,6,22
"148",4,0.323127259538667,6,23
"149",4,0.335675735810942,6,24
"150",4,0.338771365281208,6,25
"151",4,0.320008457082657,7,1
"152",4,0.334322093140787,7,2
"153",4,0.334689621304897,7,3
"154",4,0.320283045650853,7,4
"155",4,0.331442214963507,7,5
"156",4,0.308673524034948,7,6
"157",4,0.320910026716282,7,7
"158",4,0.32007001000298,7,8
"159",4,0.324733761558783,7,9
"160",4,0.30942332139503,7,10
"161",4,0.318409793464171,7,11
"162",4,0.325195155142222,7,12
"163",4,0.312553903039831,7,13
"164",4,0.324886165475752,7,14
"165",4,0.327789607705231,7,15
"166",4,0.316179434413742,7,16
"167",4,0.32837504048172,7,17
"168",4,0.326222592112103,7,18
"169",4,0.318548318354733,7,19
"170",4,0.29384585167877,7,20
"171",4,0.313574807255795,7,21
"172",4,0.322360728291364,7,22
"173",4,0.318257504037998,7,23
"174",4,0.319624317675077,7,24
"175",4,0.326749973441946,7,25
"176",4,0.324057833432335,8,1
"177",4,0.302935402523022,8,2
"178",4,0.30146076757582,8,3
"179",4,0.320796678116779,8,4
"180",4,0.314891102148655,8,5
"181",4,0.327777103556225,8,6
"182",4,0.330811389875657,8,7
"183",4,0.321060863636782,8,8
"184",4,0.322985932635502,8,9
"185",4,0.319586674939339,8,10
"186",4,0.324017558449954,8,11
"187",4,0.315732158777717,8,12
"188",5,0.242125194600825,8,13
"189",4,0.326304919334235,8,14
"190",4,0.33232790334046,8,15
"191",4,0.3158985114282,8,16
"192",4,0.326577252654175,8,17
"193",4,0.32199593889191,8,18
"194",4,0.327282232335797,8,19
"195",4,0.32228036350935,8,20
"196",4,0.302539167875844,8,21
"197",4,0.330077734709283,8,22
"198",4,0.320262293835911,8,23
"199",4,0.325340466688686,8,24
"200",4,0.29692975286979,8,25
"201",4,0.318348749330913,9,1
"202",4,0.329966744933216,9,2
"203",4,0.318748706806612,9,3
"204",4,0.316318767109719,9,4
"205",4,0.328659467233325,9,5
"206",4,0.316739163455704,9,6
"207",4,0.318067584639751,9,7
"208",4,0.321053689777058,9,8
"209",5,0.236180503952088,9,9
"210",4,0.314884205336989,9,10
"211",4,0.323518770606186,9,11
"212",4,0.319775038571632,9,12
"213",4,0.320291063612975,9,13
