"","n.clusters","sil.coef","algorithm","N.features","randomization"
"1",4,0.525274818979573,"affinity",1,1
"2",2,0.584823595346024,"fuzzy",1,1
"3",5,0.390096289579,"affinity",2,1
"4",3,0.332768007698746,"fuzzy",2,1
"5",4,0.509290554914377,"affinity",3,1
"6",2,0.448961689295048,"fuzzy",3,1
"7",5,0.335617172800572,"affinity",4,1
"8",2,0.594610277584378,"fuzzy",4,1
"9",6,0.297062882160755,"affinity",5,1
"10",3,0.288300830518756,"fuzzy",5,1
"11",4,0.323417541076867,"affinity",6,1
"12",2,0.554559520437662,"fuzzy",6,1
"13",4,0.554655049928091,"affinity",1,2
"14",4,0.539539935369529,"fuzzy",1,2
"15",5,0.337363798397661,"affinity",2,2
"16",2,0.478718400741949,"fuzzy",2,2
"17",4,0.44247738286994,"affinity",3,2
"18",2,0.593511255520935,"fuzzy",3,2
"19",6,0.334867386137012,"affinity",4,2
"20",4,0.315993798001663,"fuzzy",4,2
"21",6,0.332320430292003,"affinity",5,2
"22",2,0.566757627170187,"fuzzy",5,2
"23",4,0.30575462235937,"affinity",6,2
"24",2,0.556755474522413,"fuzzy",6,2
"25",8,0.363700244499904,"affinity",1,3
"26",2,0.455067257570104,"fuzzy",1,3
"27",4,0.614985308568383,"affinity",2,3
"28",2,0.684922547875424,"fuzzy",2,3
"29",6,0.343981223194102,"affinity",3,3
"30",2,0.583045858482885,"fuzzy",3,3
"31",6,0.314501661933857,"affinity",4,3
"32",3,0.288509100341389,"fuzzy",4,3
"33",4,0.330284041392547,"affinity",5,3
"34",2,0.557362020135578,"fuzzy",5,3
"35",6,0.323361925615529,"affinity",6,3
"36",2,0.550801805198658,"fuzzy",6,3
"37",4,0.593911362980646,"affinity",1,4
"38",2,0.683658568851485,"fuzzy",1,4
"39",5,0.468657350490349,"affinity",2,4
"40",2,0.671023701703119,"fuzzy",2,4
"41",4,0.591978876429072,"affinity",3,4
"42",2,0.703308467828754,"fuzzy",3,4
"43",5,0.316095969214132,"affinity",4,4
"44",2,0.573998364480855,"fuzzy",4,4
"45",6,0.308415154261612,"affinity",5,4
"46",2,0.548897544277514,"fuzzy",5,4
"47",6,0.338760733430182,"affinity",6,4
"48",2,0.563926031634097,"fuzzy",6,4
"49",3,0.504739148471219,"affinity",1,5
"50",4,0.469283402617405,"fuzzy",1,5
"51",4,0.405737921712019,"affinity",2,5
"52",2,0.551103393508455,"fuzzy",2,5
"53",6,0.41586994395429,"affinity",3,5
"54",5,0.400664398915097,"fuzzy",3,5
"55",4,0.39497365687493,"affinity",4,5
"56",3,0.381358090857435,"fuzzy",4,5
"57",6,0.25056924345452,"affinity",5,5
"58",2,0.551991469535845,"fuzzy",5,5
"59",6,0.32640187655966,"affinity",6,5
"60",2,0.564655838664633,"fuzzy",6,5
"61",8,0.370503347497033,"affinity",1,6
"62",2,0.595501415023111,"fuzzy",1,6
"63",4,0.669965097323537,"affinity",2,6
"64",5,0.534398267486213,"fuzzy",2,6
"65",5,0.406049210678305,"affinity",3,6
"66",2,0.594808504629268,"fuzzy",3,6
"67",4,0.380329448295604,"affinity",4,6
"68",2,0.561080764117839,"fuzzy",4,6
"69",5,0.237651668553703,"affinity",5,6
"70",2,0.552704362289089,"fuzzy",5,6
"71",4,0.324230598736321,"affinity",6,6
"72",2,0.556665603867234,"fuzzy",6,6
"73",5,0.42242234942616,"affinity",1,7
"74",3,0.356081198147963,"fuzzy",1,7
"75",5,0.358631305443778,"affinity",2,7
"76",2,0.510180060529469,"fuzzy",2,7
"77",6,0.309872468715526,"affinity",3,7
"78",3,0.287260741705026,"fuzzy",3,7
"79",5,0.43170256160508,"affinity",4,7
"80",2,0.618550020404138,"fuzzy",4,7
"81",4,0.378143645912697,"affinity",5,7
"82",2,0.577415628002469,"fuzzy",5,7
"83",4,0.325531341470904,"affinity",6,7
"84",2,0.547075814190564,"fuzzy",6,7
"85",4,0.593772609244506,"affinity",1,8
"86",2,0.6837044731567,"fuzzy",1,8
"87",4,0.622866004781703,"affinity",2,8
"88",2,0.646139423432598,"fuzzy",2,8
"89",5,0.420232016654892,"affinity",3,8
"90",3,0.42471297428912,"fuzzy",3,8
"91",4,0.567274099953463,"affinity",4,8
"92",2,0.675186980935465,"fuzzy",4,8
"93",4,0.324454998804839,"affinity",5,8
"94",2,0.550129395076298,"fuzzy",5,8
"95",5,0.314018205911355,"affinity",6,8
"96",2,0.551318753731875,"fuzzy",6,8
"97",5,0.429953596605798,"affinity",1,9
"98",2,0.395480735702377,"fuzzy",1,9
"99",4,0.581941400350089,"affinity",2,9
"100",2,0.501695941975252,"fuzzy",2,9
"101",6,0.410398850675725,"affinity",3,9
"102",2,0.428125586979434,"fuzzy",3,9
"103",6,0.260304454728647,"affinity",4,9
"104",2,0.5106010704956,"fuzzy",4,9
"105",6,0.329358922072237,"affinity",5,9
"106",2,0.565948167024366,"fuzzy",5,9
"107",4,0.306209593666313,"affinity",6,9
"108",2,0.559421644942537,"fuzzy",6,9
"109",4,0.593637635373162,"affinity",1,10
"110",2,0.683704381007123,"fuzzy",1,10
"111",4,0.521077461271602,"affinity",2,10
"112",2,0.620899664181717,"fuzzy",2,10
"113",7,0.364791449574244,"affinity",3,10
"114",3,0.337096599824288,"fuzzy",3,10
"115",6,0.288995525054457,"affinity",4,10
"116",2,0.586416313073377,"fuzzy",4,10
"117",4,0.328608164576356,"affinity",5,10
"118",2,0.564443066833723,"fuzzy",5,10
"119",5,0.246720748601762,"affinity",6,10
"120",2,0.561287650609765,"fuzzy",6,10
"121",4,0.622164038371133,"affinity",1,11
"122",2,0.633840462405909,"fuzzy",1,11
"123",5,0.392937248678542,"affinity",2,11
"124",2,0.522827343879811,"fuzzy",2,11
"125",6,0.315029008945422,"affinity",3,11
"126",3,0.261053099684833,"fuzzy",3,11
"127",4,0.403179558651798,"affinity",4,11
"128",2,0.588543007099219,"fuzzy",4,11
"129",6,0.333077578990439,"affinity",5,11
"130",2,0.564984823843596,"fuzzy",5,11
"131",4,0.313769532385198,"affinity",6,11
"132",2,0.550061527415162,"fuzzy",6,11
"133",6,0.456976186320146,"affinity",1,12
"134",2,0.545790136223992,"fuzzy",1,12
"135",4,0.588073536050824,"affinity",2,12
"136",2,0.70231921118213,"fuzzy",2,12
"137",5,0.469237745075101,"affinity",3,12
"138",2,0.676400920056768,"fuzzy",3,12
"139",6,0.324634496026534,"affinity",4,12
"140",4,0.286820914199447,"fuzzy",4,12
"141",4,0.323963227710691,"affinity",5,12
"142",2,0.556728005570198,"fuzzy",5,12
"143",5,0.234572248338488,"affinity",6,12
"144",2,0.554538182128507,"fuzzy",6,12
"145",4,0.551326724548168,"affinity",1,13
"146",4,0.538976367636411,"fuzzy",1,13
"147",4,0.363018285130844,"affinity",2,13
"148",2,0.520551196729357,"fuzzy",2,13
"149",6,0.450572359776899,"affinity",3,13
"150",2,0.577269879056326,"fuzzy",3,13
"151",6,0.347344029658487,"affinity",4,13
"152",3,0.33245396063971,"fuzzy",4,13
"153",5,0.283742395840001,"affinity",5,13
"154",2,0.566096153917805,"fuzzy",5,13
"155",6,0.266887914477466,"affinity",6,13
"156",2,0.556276466702178,"fuzzy",6,13
"157",4,0.396776343220112,"affinity",1,14
"158",2,0.629406964207916,"fuzzy",1,14
"159",4,0.370748880344291,"affinity",2,14
"160",2,0.410785667584607,"fuzzy",2,14
"161",6,0.37900893605559,"affinity",3,14
"162",2,0.558540338919619,"fuzzy",3,14
"163",4,0.364737327443035,"affinity",4,14
"164",3,0.353885457294038,"fuzzy",4,14
"165",4,0.33556162938793,"affinity",5,14
"166",2,0.558557968006948,"fuzzy",5,14
"167",6,0.318126236794323,"affinity",6,14
"168",2,0.566366033185253,"fuzzy",6,14
"169",4,0.622083162002765,"affinity",1,15
"170",2,0.633812087077024,"fuzzy",1,15
"171",3,0.35232959833399,"affinity",2,15
"172",2,0.367476221311741,"fuzzy",2,15
"173",6,0.327046263687761,"affinity",3,15
"174",3,0.296848274157827,"fuzzy",3,15
"175",4,0.411397340920234,"affinity",4,15
"176",2,0.595255344768381,"fuzzy",4,15
"177",4,0.336426282147669,"affinity",5,15
"178",2,0.572760784982928,"fuzzy",5,15
"179",4,0.333119906093475,"affinity",6,15
"180",2,0.563295776671336,"fuzzy",6,15
"181",5,0.393123367251425,"affinity",1,16
"182",3,0.370040548678877,"fuzzy",1,16
"183",4,0.674393531881505,"affinity",2,16
"184",6,0.525812114730547,"fuzzy",2,16
"185",4,0.352334096758365,"affinity",3,16
"186",2,0.434646322062639,"fuzzy",3,16
"187",5,0.357570482805189,"affinity",4,16
"188",4,0.358103712020806,"fuzzy",4,16
"189",4,0.319312938505204,"affinity",5,16
"190",2,0.551457829315413,"fuzzy",5,16
"191",4,0.324228053741002,"affinity",6,16
"192",2,0.556664314807669,"fuzzy",6,16
"193",5,0.435280082988955,"affinity",1,17
"194",2,0.612974438127364,"fuzzy",1,17
"195",4,0.61100045817381,"affinity",2,17
"196",5,0.435686165149091,"fuzzy",2,17
"197",6,0.387864665898957,"affinity",3,17
"198",6,0.357866793791802,"fuzzy",3,17
"199",5,0.378756169726282,"affinity",4,17
"200",2,0.58726509578697,"fuzzy",4,17
"201",5,0.317739346950052,"affinity",5,17
"202",2,0.572808991843168,"fuzzy",5,17
"203",4,0.324227885038167,"affinity",6,17
"204",2,0.556664208216918,"fuzzy",6,17
"205",4,0.546438537724727,"affinity",1,18
"206",2,0.659479654662325,"fuzzy",1,18
"207",3,0.420386446852533,"affinity",2,18
"208",2,0.414580266814651,"fuzzy",2,18
"209",4,0.4675691880747,"affinity",3,18
"210",2,0.621872574422851,"fuzzy",3,18
"211",5,0.33664797101079,"affinity",4,18
"212",2,0.575289073880702,"fuzzy",4,18
"213",4,0.317245935289977,"affinity",5,18
"214",2,0.565598349876446,"fuzzy",5,18
"215",4,0.331010963049496,"affinity",6,18
"216",2,0.564213972495921,"fuzzy",6,18
"217",3,0.395171634378366,"affinity",1,19
"218",6,0.351470894727527,"fuzzy",1,19
"219",6,0.41064939712395,"affinity",2,19
"220",2,0.428227308972466,"fuzzy",2,19
"221",4,0.548123356461046,"affinity",3,19
"222",2,0.635360334411184,"fuzzy",3,19
"223",4,0.367321420050711,"affinity",4,19
"224",2,0.568977808105661,"fuzzy",4,19
"225",6,0.316858714999088,"affinity",5,19
"226",2,0.544458601940508,"fuzzy",5,19
"227",5,0.235802734189173,"affinity",6,19
"228",2,0.55520581079642,"fuzzy",6,19
"229",6,0.434523638542499,"affinity",1,20
"230",3,0.376440727454,"fuzzy",1,20
"231",5,0.311441224433082,"affinity",2,20
"232",2,0.46408503872712,"fuzzy",2,20
"233",5,0.464894189997205,"affinity",3,20
"234",2,0.608665530390263,"fuzzy",3,20
"235",4,0.436777123120625,"affinity",4,20
"236",2,0.604078569599339,"fuzzy",4,20
"237",4,0.323232902014448,"affinity",5,20
"238",2,0.549433790584802,"fuzzy",5,20
"239",5,0.295147455068887,"affinity",6,20
"240",2,0.574746344018027,"fuzzy",6,20
"241",4,0.592620963237435,"affinity",1,21
"242",2,0.70344237064676,"fuzzy",1,21
"243",5,0.517100916935156,"affinity",2,21
"244",2,0.691028048621685,"fuzzy",2,21
"245",7,0.350557586603003,"affinity",3,21
"246",2,0.55871825883962,"fuzzy",3,21
"247",5,0.444761506739277,"affinity",4,21
"248",2,0.615811502981004,"fuzzy",4,21
"249",4,0.32948414984033,"affinity",5,21
"250",2,0.559564779107071,"fuzzy",5,21
"251",5,0.305455404946978,"affinity",6,21
"252",2,0.545936148894112,"fuzzy",6,21
"253",4,0.567251735548793,"affinity",1,22
"254",2,0.675636914449957,"fuzzy",1,22
"255",4,0.593643506582166,"affinity",2,22
"256",2,0.683678630903646,"fuzzy",2,22
"257",5,0.403250480908852,"affinity",3,22
"258",2,0.633440954697377,"fuzzy",3,22
"259",5,0.513461412527753,"affinity",4,22
"260",2,0.632302226603479,"fuzzy",4,22
"261",4,0.337273728555612,"affinity",5,22
"262",2,0.554162667158336,"fuzzy",5,22
"263",6,0.295424539257967,"affinity",6,22
"264",2,0.568280986008667,"fuzzy",6,22
"265",3,0.676432141972763,"affinity",1,23
"266",2,0.716126159327197,"fuzzy",1,23
"267",4,0.621760940260868,"affinity",2,23
"268",2,0.63370562305263,"fuzzy",2,23
"269",4,0.450947774142778,"affinity",3,23
"270",2,0.637083988626302,"fuzzy",3,23
"271",4,0.465769145400007,"affinity",4,23
"272",2,0.605105450384209,"fuzzy",4,23
"273",4,0.314319832966321,"affinity",5,23
"274",2,0.553290327283791,"fuzzy",5,23
"275",5,0.309108843550172,"affinity",6,23
"276",2,0.544995902983247,"fuzzy",6,23
"277",4,0.547923830961337,"affinity",1,24
"278",2,0.659493320294437,"fuzzy",1,24
"279",4,0.613627563137105,"affinity",2,24
"280",5,0.442036911603154,"fuzzy",2,24
"281",3,0.543641300326312,"affinity",3,24
"282",2,0.574108320820958,"fuzzy",3,24
"283",4,0.347818720978134,"affinity",4,24
"284",2,0.563293945695092,"fuzzy",4,24
"285",5,0.310203648029649,"affinity",5,24
"286",2,0.580972263289036,"fuzzy",5,24
"287",4,0.343595972703896,"affinity",6,24
"288",2,0.570357827873483,"fuzzy",6,24
"289",4,0.556863432666088,"affinity",1,25
"290",5,0.614249269343335,"fuzzy",1,25
"291",4,0.62091943541834,"affinity",2,25
"292",2,0.688526913111862,"fuzzy",2,25
"293",4,0.527158159677278,"affinity",3,25
"294",4,0.587197652905704,"fuzzy",3,25
"295",6,0.304116209993911,"affinity",4,25
"296",2,0.570062019333093,"fuzzy",4,25
"297",4,0.345780865337928,"affinity",5,25
"298",2,0.569308285032011,"fuzzy",5,25
"299",4,0.327386379716861,"affinity",6,25
"300",2,0.557415468216531,"fuzzy",6,25
