,n.clusters,sil.coef,algorithm,N.features,randomization
,2,,affinity,1,0
49,3,0.504739148,affinity,1,5
217,3,0.395171634,affinity,1,19
265,3,0.676432142,affinity,1,23
1,4,0.525274819,affinity,1,1
13,4,0.55465505,affinity,1,2
37,4,0.593911363,affinity,1,4
85,4,0.593772609,affinity,1,8
109,4,0.593637635,affinity,1,10
121,4,0.622164038,affinity,1,11
145,4,0.551326725,affinity,1,13
157,4,0.396776343,affinity,1,14
169,4,0.622083162,affinity,1,15
205,4,0.546438538,affinity,1,18
241,4,0.592620963,affinity,1,21
253,4,0.567251736,affinity,1,22
277,4,0.547923831,affinity,1,24
289,4,0.556863433,affinity,1,25
73,5,0.422422349,affinity,1,7
97,5,0.429953597,affinity,1,9
181,5,0.393123367,affinity,1,16
193,5,0.435280083,affinity,1,17
133,6,0.456976186,affinity,1,12
229,6,0.434523639,affinity,1,20
,7,,affinity,1,0
25,8,0.363700244,affinity,1,3
61,8,0.370503347,affinity,1,6
,2,,affinity,2,0
171,3,0.352329598,affinity,2,15
207,3,0.420386447,affinity,2,18
27,4,0.614985309,affinity,2,3
51,4,0.405737922,affinity,2,5
63,4,0.669965097,affinity,2,6
87,4,0.622866005,affinity,2,8
99,4,0.5819414,affinity,2,9
111,4,0.521077461,affinity,2,10
135,4,0.588073536,affinity,2,12
147,4,0.363018285,affinity,2,13
159,4,0.37074888,affinity,2,14
183,4,0.674393532,affinity,2,16
195,4,0.611000458,affinity,2,17
255,4,0.593643507,affinity,2,22
267,4,0.62176094,affinity,2,23
279,4,0.613627563,affinity,2,24
291,4,0.620919435,affinity,2,25
3,5,0.39009629,affinity,2,1
15,5,0.337363798,affinity,2,2
39,5,0.46865735,affinity,2,4
75,5,0.358631305,affinity,2,7
123,5,0.392937249,affinity,2,11
231,5,0.311441224,affinity,2,20
243,5,0.517100917,affinity,2,21
219,6,0.410649397,affinity,2,19
,7,0.410649397,affinity,2,0
,8,0.410649397,affinity,2,0
,2,,affinity,3,0
281,3,0.5436413,affinity,3,24
5,4,0.509290555,affinity,3,1
17,4,0.442477383,affinity,3,2
