"","n.clusters","sil.coef","algorithm","N.features","randomization"
"1",4,0.298725373371278,"affinity",6,1
"2",2,0.494469675185629,"fuzzy",6,1
"3",3,0.406382519626168,"affinity",6,2
"4",2,0.476135407334679,"fuzzy",6,2
"5",3,0.416815075751121,"affinity",6,3
"6",2,0.500684609857018,"fuzzy",6,3
"7",3,0.33041718365104,"affinity",6,4
"8",2,0.486348286133128,"fuzzy",6,4
"9",3,0.397648121880729,"affinity",6,5
"10",2,0.506958921788267,"fuzzy",6,5
"11",3,0.424640535163173,"affinity",6,6
"12",2,0.502078900892739,"fuzzy",6,6
"13",3,0.40607196044234,"affinity",6,7
"14",2,0.490248249150178,"fuzzy",6,7
"15",4,0.281798995009628,"affinity",6,8
"16",2,0.469169983853722,"fuzzy",6,8
"17",3,0.412994090387652,"affinity",6,9
"18",2,0.501493911435761,"fuzzy",6,9
"19",4,0.333883032294119,"affinity",6,10
"20",2,0.523349466232058,"fuzzy",6,10
"21",3,0.357032542751812,"affinity",6,11
"22",2,0.495494016765611,"fuzzy",6,11
"23",3,0.397860602340496,"affinity",6,12
"24",2,0.49239922332224,"fuzzy",6,12
"25",3,0.385135716000233,"affinity",6,13
"26",2,0.51857708419221,"fuzzy",6,13
"27",3,0.359499622796276,"affinity",6,14
"28",2,0.480776525081921,"fuzzy",6,14
"29",3,0.355763439279914,"affinity",6,15
"30",2,0.498994366833796,"fuzzy",6,15
"31",3,0.420252582589549,"affinity",6,16
"32",2,0.488420042955633,"fuzzy",6,16
"33",3,0.365897269353628,"affinity",6,17
"34",2,0.499017651009566,"fuzzy",6,17
"35",3,0.405975487277705,"affinity",6,18
"36",2,0.494018685740769,"fuzzy",6,18
"37",3,0.386127410425223,"affinity",6,19
"38",2,0.492665112739557,"fuzzy",6,19
"39",3,0.373523728264304,"affinity",6,20
"40",2,0.490832038872455,"fuzzy",6,20
"41",3,0.3796645146291,"affinity",6,21
"42",2,0.479595675502714,"fuzzy",6,21
"43",3,0.416476123782051,"affinity",6,22
"44",2,0.477984039016078,"fuzzy",6,22
"45",3,0.362168272651624,"affinity",6,23
"46",2,0.47123896677913,"fuzzy",6,23
"47",4,0.311621035618887,"affinity",6,24
"48",2,0.466413817563446,"fuzzy",6,24
"49",3,0.377765920447535,"affinity",6,25
"50",2,0.498171716710425,"fuzzy",6,25
