"","Sum","kernel","iteraction"
"1","4.75","linear","1"
"2","4.71","linear","2"
"3","4.6","linear","3"
"4","4.56","linear","4"
"5","4.58","linear","5"
"6","4.75","polynomial","1"
"7","4.39","polynomial","2"
"8","4.85","polynomial","3"
"9","4.55","polynomial","4"
"10","4.75","polynomial","5"
"11","4.62","radial","1"
"12","4.13","radial","2"
"13","4.25","radial","3"
"14","3.99","radial","4"
"15","4.09","radial","5"
"16","3.58","sigmoid","1"
"17","3.36","sigmoid","2"
"18","3.71","sigmoid","3"
"19","3.98","sigmoid","4"
"20","3.59","sigmoid","5"
"21","4.58","linear","1"
"22","4.66","linear","2"
"23","4.8","linear","3"
"24","4.63","linear","4"
"25","4.7","linear","5"
"26","4.83","polynomial","1"
"27","4.53","polynomial","2"
"28","4.59","polynomial","3"
"29","4.8","polynomial","4"
"30","4.77","polynomial","5"
"31","3.9","radial","1"
"32","4.06","radial","2"
"33","4.52","radial","3"
"34","4.3","radial","4"
"35","4.01","radial","5"
"36","3.48","sigmoid","1"
"37","3.97","sigmoid","2"
"38","4.05","sigmoid","3"
"39","4.36","sigmoid","4"
"40","4.12","sigmoid","5"
