"","svm.accuracy","n.samples","randomization"
"1",58,1,1
"2",63,2,1
"3",68,3,1
"4",66.75,4,1
"5",70.4,5,1
"6",70.5,6,1
"7",70.4285714285714,7,1
"8",74,8,1
"9",72,9,1
"10",59,1,2
"11",67.5,2,2
"12",63,3,2
"13",67.5,4,2
"14",68,5,2
"15",70.3333333333333,6,2
"16",71.7142857142857,7,2
"17",69.75,8,2
"18",71.7777777777778,9,2
"19",50,1,3
"20",68.5,2,3
"21",66,3,3
"22",72.5,4,3
"23",74.8,5,3
"24",66.6666666666667,6,3
"25",72.7142857142857,7,3
"26",71.375,8,3
"27",73.3333333333333,9,3
"28",59,1,4
"29",68,2,4
"30",69.6666666666667,3,4
"31",67,4,4
"32",71.4,5,4
"33",69.8333333333333,6,4
"34",73.5714285714286,7,4
"35",74.25,8,4
"36",70.1111111111111,9,4
"37",67,1,5
"38",65.5,2,5
"39",64,3,5
"40",67.5,4,5
"41",71.2,5,5
"42",65.8333333333333,6,5
"43",72.2857142857143,7,5
"44",68.625,8,5
"45",73,9,5
"46",72,1,6
"47",67.5,2,6
"48",69.3333333333333,3,6
"49",65.25,4,6
"50",71.4,5,6
"51",69.8333333333333,6,6
"52",70.1428571428571,7,6
"53",70.5,8,6
"54",72.7777777777778,9,6
"55",71,1,7
"56",64,2,7
"57",67,3,7
"58",70.75,4,7
"59",71.4,5,7
"60",66.8333333333333,6,7
"61",71.5714285714286,7,7
"62",71.375,8,7
"63",71,9,7
"64",74,1,8
"65",69.5,2,8
"66",65,3,8
"67",67.25,4,8
"68",71.8,5,8
"69",74,6,8
"70",71,7,8
"71",72.5,8,8
"72",73.6666666666667,9,8
"73",55,1,9
"74",64.5,2,9
"75",71.6666666666667,3,9
"76",71,4,9
"77",70.6,5,9
"78",71,6,9
"79",73.7142857142857,7,9
"80",71.75,8,9
"81",72.2222222222222,9,9
"82",59,1,10
"83",71,2,10
"84",68.3333333333333,3,10
"85",73,4,10
"86",71.8,5,10
"87",70.3333333333333,6,10
"88",70.4285714285714,7,10
"89",71.5,8,10
"90",73.2222222222222,9,10
"91",58,1,11
"92",69.5,2,11
"93",68,3,11
"94",66.25,4,11
"95",68,5,11
"96",73.8333333333333,6,11
"97",71.1428571428571,7,11
"98",72.25,8,11
"99",71.7777777777778,9,11
"100",68,1,12
"101",63.5,2,12
"102",62.6666666666667,3,12
"103",66,4,12
"104",73.2,5,12
"105",72,6,12
"106",68,7,12
"107",71.875,8,12
"108",71.3333333333333,9,12
"109",62,1,13
"110",56.5,2,13
"111",69,3,13
"112",73,4,13
"113",69.4,5,13
"114",72.3333333333333,6,13
"115",69.8571428571429,7,13
"116",72.75,8,13
"117",71.8888888888889,9,13
"118",56,1,14
"119",64.5,2,14
"120",64.6666666666667,3,14
"121",70,4,14
"122",73,5,14
"123",71.8333333333333,6,14
"124",74,7,14
"125",72.125,8,14
"126",71.1111111111111,9,14
"127",53,1,15
"128",65.5,2,15
"129",67,3,15
"130",68,4,15
"131",71.4,5,15
"132",71.3333333333333,6,15
"133",71.2857142857143,7,15
"134",72.75,8,15
"135",72.2222222222222,9,15
"136",78,1,16
"137",65.5,2,16
"138",65.6666666666667,3,16
"139",66,4,16
"140",69.8,5,16
"141",70.1666666666667,6,16
"142",73,7,16
"143",70,8,16
"144",73,9,16
"145",48,1,17
"146",74.5,2,17
"147",69.6666666666667,3,17
"148",66.25,4,17
"149",63,5,17
"150",67.8333333333333,6,17
"151",71.1428571428571,7,17
"152",73.625,8,17
"153",73,9,17
"154",63,1,18
"155",67.5,2,18
"156",64,3,18
"157",65,4,18
"158",70.8,5,18
"159",68.3333333333333,6,18
"160",71.4285714285714,7,18
"161",71,8,18
"162",72,9,18
"163",68,1,19
"164",70,2,19
"165",67,3,19
"166",68,4,19
"167",71.4,5,19
"168",71.5,6,19
"169",71.5714285714286,7,19
"170",73.5,8,19
"171",74.5555555555556,9,19
"172",67,1,20
"173",69.5,2,20
"174",70.3333333333333,3,20
"175",64.75,4,20
"176",73,5,20
"177",70.6666666666667,6,20
"178",70.5714285714286,7,20
"179",72.375,8,20
"180",71.3333333333333,9,20
"181",64,1,21
"182",62,2,21
"183",64.6666666666667,3,21
"184",67,4,21
"185",70.8,5,21
"186",74.1666666666667,6,21
"187",73.7142857142857,7,21
"188",71.875,8,21
"189",73.5555555555556,9,21
"190",64,1,22
"191",68.5,2,22
"192",62.6666666666667,3,22
"193",74.75,4,22
"194",73,5,22
"195",73,6,22
"196",73.2857142857143,7,22
"197",72.625,8,22
"198",71.1111111111111,9,22
"199",61,1,23
"200",65,2,23
"201",63.3333333333333,3,23
"202",65.5,4,23
"203",73.2,5,23
"204",72,6,23
"205",72,7,23
"206",73.5,8,23
"207",73.3333333333333,9,23
"208",63,1,24
"209",56.5,2,24
"210",69.6666666666667,3,24
"211",64.75,4,24
"212",68,5,24
"213",71.5,6,24
"214",72.4285714285714,7,24
"215",69.625,8,24
"216",74,9,24
"217",70,1,25
"218",64,2,25
"219",66,3,25
"220",70,4,25
"221",74.8,5,25
"222",69.1666666666667,6,25
"223",72,7,25
"224",72.25,8,25
"225",71.8888888888889,9,25
