meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5%.Hz,Freq.95%.Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50%.Hz,BW.90%.Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50%.s,Dur.90%.s,Freq.25%.Hz,Freq.75%.Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz/ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz/ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz/ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25%.Rel.,Time.5%.Rel.,Time.75%.Rel.,Time.95%.Rel.,Freq_IQR,Time_IQR,F0_min,F0_max,Pulse.Type,member_V1,member_V2,Typicality(d),Cluster,Typical,Atypical,Cluster_Typical,Cluster_Atypical
0.69,0.3,2.62,12.82,0.93,0.85,0.79,0.51,0.41,0.21,0.89,0.68,6.52,0.22,0.38,0.13,0.35,1.25,312.2,995.82,6.58,5.53,328.35,683.62,419.86,0.74,0.38,0.85,392.95,721.3,398.33,0.13,861.25,37.66,209.93,-37.28,14,0.84,0.53,0.24,0.84,0.93,328.35,0.31,0.21,0.42,HR,0.999432939,0.000567061,0.998865877,1,TRUE,FALSE,1,NA
0.59,0.31,4.12,26.66,0.91,0.85,0.77,0.44,0.35,0.17,0.88,0.71,4.44,0.33,0.34,0.01,0.32,1.45,231.46,872.02,5.72,4.65,48.45,640.56,333.73,0.65,0.65,1.08,322.97,371.41,328.35,0.11,425.24,4.95,166.87,-1.9,16,0.75,0.3,0.16,0.75,0.91,48.45,0.46,0.1,0.42,HR,0.995522098,0.004477902,0.991044195,1,TRUE,FALSE,1,NA
0.77,0.33,3.98,25.07,0.91,0.85,0.78,0.49,0.44,0.26,0.78,0.52,2.75,0.26,0.35,0.08,0.44,1.03,296.06,1011.97,6.51,4.97,366.03,715.91,489.84,0.67,0.38,0.69,436.01,802.04,500.6,0.39,769.74,24.35,107.66,-30.43,8,0.64,0.46,0.24,0.83,0.92,366.03,0.38,0.02,0.51,HR,0.998473524,0.001526476,0.996947047,1,TRUE,FALSE,1,NA
0.72,0.28,4.25,26.84,0.87,0.85,0.74,0.36,0.46,0.08,0.5,0.42,1.21,0.08,0.41,0.37,0.43,0.9,392.95,958.14,5.59,4.51,69.98,565.2,479.07,0.62,0.28,0.59,457.54,527.52,479.07,0.15,495.22,6.09,258.38,-4.57,4,0.59,0.48,0.24,0.79,0.9,69.98,0.32,0.27,0.5,HR,0.999210477,0.000789523,0.998420954,1,TRUE,FALSE,1,NA
0.66,0.3,4.07,24.99,0.89,0.85,0.76,0.42,0.46,0.31,0.8,0.5,2.37,0.4,0.8,0.33,0.42,1.2,392.95,925.84,5.59,4.86,64.59,532.9,457.54,0.7,0.5,0.86,419.86,484.45,409.09,-0.14,791.27,26.63,258.38,-27.77,12,0.92,0.48,0.21,0.89,0.94,64.59,0.42,0.01,0.5,HR,0.998438111,0.001561889,0.996876221,1,TRUE,FALSE,1,NA
0.48,0.23,3.49,17.46,0.92,0.85,0.79,0.63,0.31,0.18,0.38,0.2,1.79,0.18,0.22,0.06,0.32,0.72,183.02,726.68,6,4.59,156.1,543.66,322.97,0.46,0.4,0.61,215.31,371.41,188.4,0.07,382.18,3.42,166.87,-5.71,1,0.1,0.16,0.08,0.72,0.94,156.1,0.56,0.19,0.38,HR,0.859131572,0.140868428,0.718263144,1,FALSE,TRUE,NA,1
0.63,0.32,3.14,13.49,0.87,0.86,0.75,0.42,0.53,0.37,1.13,0.75,1.9,0.37,0.47,0.19,0.5,0.51,382.18,1114.24,5.91,4.79,75.36,732.06,511.37,0.66,0.21,0.37,468.31,543.66,522.13,0.95,559.81,22.44,53.83,-1.9,2,0.49,0.43,0.2,0.86,0.94,75.36,0.43,0.03,0.56,HR,0.994346246,0.005653754,0.988692491,1,TRUE,FALSE,1,NA
0.69,0.24,4.14,24.83,0.86,0.85,0.74,0.35,0.59,0.22,0.79,0.57,2.92,0.22,0.43,0.3,0.74,0.67,344.5,791.27,5.83,4.89,242.23,446.77,748.21,0.57,0.21,0.45,532.9,775.13,785.89,0.83,785.89,23.96,199.16,-23.96,8,0.6,0.36,0.17,0.68,0.85,242.23,0.32,0.01,0.79,HR,0.998504163,0.001495837,0.997008327,1,TRUE,FALSE,1,NA
0.62,0.26,3.2,14.74,0.86,0.86,0.74,0.34,0.51,0.27,0.66,0.39,2.47,0.33,0.27,-0.08,0.53,0.65,263.76,640.56,5.99,4.62,188.4,376.8,505.98,0.37,0.37,0.54,360.65,549.05,538.28,-0.07,656.7,9.89,263.76,-10.65,5,0.3,0.26,0.11,0.83,0.93,188.4,0.57,0.27,0.66,HR,0.998586099,0.001413901,0.997172198,1,TRUE,FALSE,1,NA
0.51,0.25,2.87,12.77,0.84,0.86,0.72,0.19,0.35,0.15,0.44,0.29,1.41,0.15,0.32,0.27,0.36,0.64,204.55,855.87,6,4.54,113.04,651.32,392.95,0.58,0.28,0.48,317.59,430.63,436.01,0.17,436.01,3.04,161.48,-4.95,5,0.6,0.33,0.16,0.78,0.91,113.04,0.44,0.13,0.43,HR,0.988968292,0.011031708,0.977936584,1,TRUE,FALSE,1,NA
