Wendy,Whitney,Haley
R,R,R
R,R,R
S,I,I
R,R,R
S,S,S
S,S,S
S,S,S
R,I,R
R,R,R
I,I,I
R,R,R
S,S,S
I,I,I
I,I,I
R,S,R
R,R,R
S,S,S
S,S,S
S,S,S
R,R,R
S,S,S
S,S,S
R,R,R
R,R,R
S,S,S
S,S,S
S,S,S
R,R,R
S,S,S
R,S,R
R,R,R
R,R,R
S,S,S
S,S,S
I,I,R
S,S,S
S,S,S
R,R,R
S,S,I
S,I,I
S,I,S
R,R,R
R,R,R
I,I,R
R,R,R
I,I,I
R,R,R
R,R,R
I,I,I
R,R,R
R,R,R
S,S,S
R,R,R
R,R,R
R,R,R
S,S,S
R,R,R
R,R,R
S,S,S
S,S,S
R,S,R
I,I,I
S,S,S
R,R,R
R,R,R
S,S,S
R,R,R
R,R,R
S,S,S
R,R,R
R,R,R
R,R,R
S,S,S
S,I,S
R,R,R
R,R,R
S,S,S
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
S,I,S
I,R,I
S,S,S
R,R,R
R,R,R
I,I,I
R,R,R
R,R,R
R,R,R
I,I,I
I,I,I
I,I,I
S,I,S
I,I,I
S,I,I
S,S,S
I,I,S
S,S,S
R,R,R
S,S,S
I,I,I
I,I,I
S,S,I
R,R,R
R,R,R
I,I,I
R,R,R
I,I,I
S,S,S
S,S,S
I,I,I
R,R,R
S,S,S
R,R,R
I,I,I
S,S,S
R,R,R
S,S,S
I,I,I
R,R,R
S,I,S
I,I,I
R,R,R
S,S,S
R,R,R
R,R,R
S,S,I
R,R,R
S,S,S
I,I,R
S,S,S
R,R,R
R,R,R
I,R,I
R,R,R
I,I,I
S,S,S
S,S,S
S,S,S
I,I,I
S,I,S
R,R,R
R,S,R
S,I,S
I,I,I
S,S,S
R,R,R
R,R,R
S,S,I
S,S,S
R,R,R
R,R,R
R,R,R
R,R,R
R,I,R
S,S,I
R,R,R
I,I,I
R,R,R
I,I,I
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
I,I,I
S,S,S
S,S,S
R,R,R
S,I,I
I,I,I
S,S,S
S,I,S
I,I,I
R,R,R
R,R,R
S,S,S
R,R,R
I,I,I
R,R,R
S,S,I
R,R,R
R,S,R
R,R,R
S,S,I
S,S,S
S,S,S
S,S,S
R,R,R
I,R,R
R,R,R
S,S,S
S,S,S
I,I,I
R,R,R
R,R,R
S,I,S
I,I,I
S,S,I
I,I,S
I,I,I
R,R,R
S,I,S
S,S,S
R,S,S
R,R,R
I,I,I
R,R,R
R,R,R
I,I,I
R,R,R
S,S,S
S,S,S
R,R,R
I,I,I
R,R,R
I,I,I
R,R,R
R,R,R
R,R,R
I,I,I
I,I,I
R,R,R
S,S,S
I,I,I
S,S,S
R,I,R
R,R,R
R,R,R
R,R,R
R,R,R
I,I,I
R,R,R
S,S,S
S,S,I
I,I,I
R,R,R
R,R,R
R,R,R
I,I,I
I,R,R
I,I,R
S,S,S
I,I,I
I,I,I
R,R,R
R,I,R
R,R,R
R,R,R
R,R,R
S,S,S
R,R,R
R,R,R
S,S,S
R,R,R
S,S,S
R,R,R
R,R,R
R,R,R
R,R,R
R,R,I
S,S,I
R,R,R
R,R,R
I,S,I
R,R,R
R,R,R
R,R,R
S,S,S
R,R,R
R,R,R
R,R,R
I,I,I
S,S,S
I,I,I
R,R,R
R,R,R
R,R,R
I,R,R
R,R,R
I,I,I
S,S,I
I,I,I
R,R,R
I,I,I
S,S,S
S,S,S
R,R,R
S,S,S
R,R,R
S,S,I
I,S,I
R,R,R
R,R,R
